pH,T_C,time_h,f_CaWO4,f_MnWO4,S_CaWO4,E_diss,xrd_detectable,gate1_pass
9.5,80,8,0.22192667615638495,0.030512671834508055,30746.043124078536,0.9706724055463347,True,True
9.5,80,12,0.22192667615638495,0.030512671834508055,30746.043124078536,0.9706724055463347,True,True
9.5,100,2,0.20856865524892132,0.03103651566235513,23466.88123325486,0.9636450388481637,True,True
9.5,100,4,0.20856865524892132,0.03103651566235513,23466.88123325486,0.9636450388481637,True,True
9.5,100,8,0.20856865524892132,0.03103651566235513,23466.88123325486,0.9636450388481637,True,True
9.5,100,12,0.20856865524892132,0.03103651566235513,23466.88123325486,0.9636450388481637,True,True
9.5,120,2,0.19684215810543915,0.031496378181917986,18410.23531492552,0.9574759816140745,True,True
9.5,120,4,0.19684215810543915,0.031496378181917986,18410.23531492552,0.9574759816140745,True,True
9.5,120,8,0.19684215810543915,0.031496378181917986,18410.23531492552,0.9574759816140745,True,True
9.5,120,12,0.19684215810543915,0.031496378181917986,18410.23531492552,0.9574759816140745,True,True
9.5,150,2,0.1817956681058972,0.03208643646761948,13355.061797682147,0.9495603477428873,True,True
9.5,150,4,0.1817956681058972,0.03208643646761948,13355.061797682147,0.9495603477428873,True,True
9.5,150,8,0.1817956681058972,0.03208643646761948,13355.061797682147,0.9495603477428873,True,True
9.5,150,12,0.1817956681058972,0.03208643646761948,13355.061797682147,0.9495603477428873,True,True
9.5,180,2,0.1692259702615719,0.03257936567317069,10108.616206092913,0.9429477008059501,True,True
9.5,180,4,0.1692259702615719,0.03257936567317069,10108.616206092913,0.9429477008059501,True,True
9.5,180,8,0.1692259702615719,0.03257936567317069,10108.616206092913,0.9429477008059501,True,True
9.5,180,12,0.1692259702615719,0.03257936567317069,10108.616206092913,0.9429477008059501,True,True
10.0,60,2,0.23719750848042095,0.02991382086177509,41611.621372867136,0.9787060615808006,True,True
10.0,60,4,0.23719750848042095,0.02991382086177509,41611.621372867136,0.9787060615808006,True,True
10.0,60,8,0.23719750848042095,0.02991382086177509,41611.621372867136,0.9787060615808006,True,True
10.0,60,12,0.23719750848042095,0.02991382086177509,41611.621372867136,0.9787060615808006,True,True
10.0,80,2,0.2219281917401592,0.03051261754994528,30746.307790912982,0.9706732033772789,True,True
10.0,80,4,0.2219281917401592,0.03051261754994528,30746.307790912982,0.9706732033772789,True,True
10.0,80,8,0.2219281917401592,0.03051261754994528,30746.307790912982,0.9706732033772789,True,True
10.0,80,12,0.2219281917401592,0.03051261754994528,30746.307790912982,0.9706732033772789,True,True
10.0,100,2,0.2085701040714008,0.03103646408429928,23467.083239904798,0.9636458015662723,True,True
10.0,100,4,0.2085701040714008,0.03103646408429928,23467.083239904798,0.9636458015662723,True,True
10.0,100,8,0.2085701040714008,0.03103646408429928,23467.083239904798,0.9636458015662723,True,True
10.0,100,12,0.2085701040714008,0.03103646408429928,23467.083239904798,0.9636458015662723,True,True
10.0,120,2,0.1968435457411785,0.03149632908095998,18410.3937931623,0.9574767121509206,True,True
10.0,120,4,0.1968435457411785,0.03149632908095998,18410.3937931623,0.9574767121509206,True,True
10.0,120,8,0.1968435457411785,0.03149632908095998,18410.3937931623,0.9574767121509206,True,True
10.0,120,12,0.1968435457411785,0.03149632908095998,18410.3937931623,0.9574767121509206,True,True
10.0,150,2,0.1817969737001772,0.03208639068356652,13355.17676018043,0.9495610351294506,True,True
10.0,150,4,0.1817969737001772,0.03208639068356652,13355.17676018043,0.9495610351294506,True,True
10.0,150,8,0.1817969737001772,0.03208639068356652,13355.17676018043,0.9495610351294506,True,True
10.0,150,12,0.1817969737001772,0.03208639068356652,13355.17676018043,0.9495610351294506,True,True
10.0,180,2,0.16922720427725868,0.03257932277932037,10108.703222670658,0.9429483505448792,True,True
10.0,180,4,0.16922720427725868,0.03257932277932037,10108.703222670658,0.9429483505448792,True,True
10.0,180,8,0.16922720427725868,0.03257932277932037,10108.703222670658,0.9429483505448792,True,True
10.0,180,12,0.16922720427725868,0.03257932277932037,10108.703222670658,0.9429483505448792,True,True
